        Time,     conc[0],     conc[1]
0.000000E+00,1.000000E+02,0.000000E+00
1.000000E+04,5.900000E+01,4.100000E+01
2.000000E+04,4.500000E+01,5.500000E+01
3.000000E+04,3.800000E+01,6.200000E+01
4.000000E+04,6.200000E+01,3.800000E+01
5.000000E+04,4.100000E+01,5.900000E+01
6.000000E+04,5.500000E+01,4.500000E+01
7.000000E+04,4.800000E+01,5.200000E+01
8.000000E+04,4.700000E+01,5.300000E+01
9.000000E+04,5.800000E+01,4.200000E+01
1.000000E+05,4.700000E+01,5.300000E+01
1.100000E+05,4.400000E+01,5.600000E+01
1.200000E+05,5.100000E+01,4.900000E+01
1.300000E+05,5.400000E+01,4.600000E+01
1.400000E+05,3.600000E+01,6.400000E+01
1.500000E+05,5.000000E+01,5.000000E+01
1.600000E+05,5.400000E+01,4.600000E+01
1.700000E+05,5.600000E+01,4.400000E+01
1.800000E+05,5.700000E+01,4.300000E+01
1.900000E+05,5.400000E+01,4.600000E+01
2.000000E+05,5.100000E+01,4.900000E+01
2.100000E+05,4.800000E+01,5.200000E+01
2.200000E+05,5.200000E+01,4.800000E+01
2.300000E+05,5.400000E+01,4.600000E+01
2.400000E+05,5.000000E+01,5.000000E+01
2.500000E+05,5.200000E+01,4.800000E+01
2.600000E+05,4.800000E+01,5.200000E+01
2.700000E+05,5.200000E+01,4.800000E+01
2.800000E+05,3.900000E+01,6.100000E+01
2.900000E+05,5.200000E+01,4.800000E+01
3.000000E+05,5.300000E+01,4.700000E+01
3.100000E+05,4.800000E+01,5.200000E+01
3.200000E+05,3.700000E+01,6.300000E+01
3.300000E+05,4.300000E+01,5.700000E+01
3.400000E+05,4.800000E+01,5.200000E+01
3.500000E+05,4.900000E+01,5.100000E+01
3.600000E+05,5.300000E+01,4.700000E+01
3.700000E+05,5.600000E+01,4.400000E+01
3.800000E+05,5.100000E+01,4.900000E+01
3.900000E+05,4.800000E+01,5.200000E+01
4.000000E+05,5.100000E+01,4.900000E+01
4.100000E+05,5.400000E+01,4.600000E+01
4.200000E+05,4.700000E+01,5.300000E+01
4.300000E+05,5.000000E+01,5.000000E+01
4.400000E+05,4.200000E+01,5.800000E+01
4.500000E+05,3.800000E+01,6.200000E+01
4.600000E+05,5.300000E+01,4.700000E+01
4.700000E+05,4.900000E+01,5.100000E+01
4.800000E+05,5.300000E+01,4.700000E+01
4.900000E+05,5.600000E+01,4.400000E+01
5.000000E+05,5.100000E+01,4.900000E+01
5.100000E+05,4.700000E+01,5.300000E+01
5.200000E+05,4.600000E+01,5.400000E+01
5.300000E+05,5.700000E+01,4.300000E+01
5.400000E+05,4.400000E+01,5.600000E+01
5.500000E+05,5.100000E+01,4.900000E+01
5.600000E+05,5.600000E+01,4.400000E+01
5.700000E+05,5.100000E+01,4.900000E+01
5.800000E+05,4.500000E+01,5.500000E+01
5.900000E+05,4.800000E+01,5.200000E+01
6.000000E+05,4.700000E+01,5.300000E+01
6.100000E+05,5.400000E+01,4.600000E+01
6.200000E+05,5.300000E+01,4.700000E+01
6.300000E+05,5.300000E+01,4.700000E+01
6.400000E+05,5.100000E+01,4.900000E+01
6.500000E+05,4.900000E+01,5.100000E+01
6.600000E+05,4.700000E+01,5.300000E+01
6.700000E+05,5.400000E+01,4.600000E+01
6.800000E+05,4.300000E+01,5.700000E+01
6.900000E+05,5.000000E+01,5.000000E+01
7.000000E+05,5.200000E+01,4.800000E+01
7.100000E+05,5.000000E+01,5.000000E+01
7.200000E+05,5.100000E+01,4.900000E+01
7.300000E+05,4.400000E+01,5.600000E+01
7.400000E+05,3.800000E+01,6.200000E+01
7.500000E+05,5.600000E+01,4.400000E+01
7.600000E+05,5.400000E+01,4.600000E+01
7.700000E+05,4.800000E+01,5.200000E+01
7.800000E+05,5.300000E+01,4.700000E+01
7.900000E+05,4.100000E+01,5.900000E+01
8.000000E+05,4.000000E+01,6.000000E+01
8.100000E+05,5.500000E+01,4.500000E+01
8.200000E+05,5.500000E+01,4.500000E+01
8.300000E+05,4.700000E+01,5.300000E+01
8.400000E+05,4.600000E+01,5.400000E+01
8.500000E+05,4.400000E+01,5.600000E+01
8.600000E+05,5.300000E+01,4.700000E+01
8.700000E+05,4.900000E+01,5.100000E+01
8.800000E+05,5.200000E+01,4.800000E+01
8.900000E+05,4.300000E+01,5.700000E+01
9.000000E+05,4.600000E+01,5.400000E+01
9.100000E+05,3.800000E+01,6.200000E+01
9.200000E+05,4.700000E+01,5.300000E+01
9.300000E+05,4.400000E+01,5.600000E+01
9.400000E+05,4.800000E+01,5.200000E+01
9.500000E+05,4.300000E+01,5.700000E+01
9.600000E+05,4.900000E+01,5.100000E+01
9.700000E+05,6.100000E+01,3.900000E+01
9.800000E+05,4.500000E+01,5.500000E+01
9.900000E+05,4.900000E+01,5.100000E+01
